a bit nauseous. concerned for this person. ,2.9047619047619047,2.925
"A bit sad. this man seems to be in a lot of pain, and I don't want him to be in pain anymore. Concerned, sympathetic.",2.5454545454545454,3.238095238095238
A cute baby is smiling. He looks like he's having a good time at home. He's probably playing with his parents.,3.477272727272727,3.6666666666666665
A cute baby looks surprised. She's wearing an adorable headband. She looks dressed up.,3.522727272727273,3.0714285714285716
a feel a little disgusted and also sad that someone lost their hand I wonder what happened.,2.953488372093023,3.6097560975609757
"A feel the boys uncomfort. I hope he gets out of there soon, the dentist sucks.",2.604651162790698,3.2195121951219514
"A girl standing. she appears kind of confused or uncertain, but not that bad. ",3.744186046511628,3.5853658536585367
a hero will come save the man. the cops will arrest red shirt dude. the gun will be out of ammo. someone will help.,3.8181818181818183,4.309523809523809
A kid is crying? But that's only because of a tiny quarrel? She will be fine. It's no big deal. No big deal.,2.9302325581395348,3.4390243902439024
A kid who has come to the world too early. But he or she will be fine.,3.697674418604651,4.097560975609756
"A man is smiling. I'm not sure what he's smiling about. I feel the tiniest bit creeped out. But I hope it's about something happy, then I could be happy too. ",2.8863636363636362,3.2857142857142856
A photoshopped photo. It must be the case. IT's fake.,3.1951219512195124,3.5384615384615383
A stylish phone call? Interesting. A cozy home it is. Afternoon sunshine.,3.4047619047619047,3.225
A teenager looks kind of pissed that she has to take this photo. But she seems to be fine. I hope she's actually happy.,2.880952380952381,3.325
A terrible disease has struck this person? Is there a treatment? This is bad.,3.2325581395348837,3.4390243902439024
"A woman is on a phone call and casually doing some yoga while she's on it. I do that sometimes too, not yoga but do other things while I'm on the phone. This makes me feel neutral.",3.7804878048780486,3.128205128205128
"A woman is smiling at the beach. I love the beach. Her hair looks great. I think she's having a good time, and I'm happy for her if she is. I like her outfit too.",2.7857142857142856,3.7
A woman's face looks like it got hit in the eye area. I hope it was an accident and I hope she is okay. She looks dressed up. It seems like domestic abuse.,3.4318181818181817,3.5238095238095237
A young man ready to face the challenge of life? He is serious but not afraid.,3.590909090909091,3.7142857142857144
Abuser was just taken away by the police. Maybe some on film makeup or news makeup to try ,4.488372093023256,4.097560975609756
"Again Nauseous. Hand is disfigured, slightly uncomfortable.",3.4651162790697674,2.7560975609756095
