[ROOT-INFO]: 2019-07-15 19:14:06,020: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:14:06,022: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:14:32,620: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,624: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,747: Old Score: 3.9166666666666665, New Score: 0.03916666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,764: Old Score: 3.3617021276595747, New Score: 1.34468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,764: Old Score: 4.5625, New Score: 0.045625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,781: Old Score: 4.8085106382978715, New Score: 3.051554828150572
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,799: Old Score: 4.51063829787234, New Score: 2.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,815: Old Score: 4.8085106382978715, New Score: 4.327659574468084
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,833: Old Score: 3.391304347826087, New Score: 1.4243478260869566
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,833: Old Score: 3.208333333333333, New Score: 0.03208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,849: Old Score: 3.234042553191489, New Score: 0.03234042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,867: Old Score: 3.6170212765957452, New Score: 2.5319148936170217
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,882: Old Score: 4.127659574468085, New Score: 0.04127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,882: Old Score: 3.8297872340425534, New Score: 3.8297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,900: Old Score: 4.326086956521738, New Score: 0.04326086956521739
