train_loss,epoch,step,val_loss,r2score,explained_var
1.0172518491744995,0,49,,,
3.708923101425171,0,99,,,
1.5421662330627441,0,149,,,
2.756270170211792,0,163,,,
,0,163,2.7947776317596436,-0.10401557231664725,0.35842013981758436
1.3321613073349,1,199,,,
1.1008518934249878,1,249,,,
2.9853663444519043,1,299,,,
2.2510132789611816,1,327,,,
,1,327,2.1395132541656494,0.1491578258989488,0.4225599672460925
1.7369349002838135,2,349,,,
1.249416470527649,2,399,,,
1.188631296157837,2,449,,,
2.020900249481201,2,491,,,
,2,491,2.654463052749634,-0.04720241437378721,0.4331166809820917
2.7220888137817383,3,499,,,
0.9906408190727234,3,549,,,
2.4606118202209473,3,599,,,
3.9294369220733643,3,649,,,
2.0086073875427246,3,655,,,
,3,655,2.104724407196045,0.16354136075296666,0.45242595749803033
1.8555208444595337,4,699,,,
2.900273084640503,4,749,,,
1.2559391260147095,4,799,,,
2.013754367828369,4,819,,,
,4,819,2.0905649662017822,0.16187097850734095,0.4251554557587311
1.6748478412628174,5,849,,,
1.181243658065796,5,899,,,
1.0217258930206299,5,949,,,
1.9686055183410645,5,983,,,
,5,983,2.3029825687408447,0.07490729090121168,0.3772980826577143
2.5079729557037354,6,999,,,
1.877983570098877,6,1049,,,
2.375246047973633,6,1099,,,
1.9154675006866455,6,1147,,,
,6,1147,2.3396623134613037,0.06552677650578739,0.3978384359685674
3.069190502166748,7,1149,,,
1.202006220817566,7,1199,,,
2.663797616958618,7,1249,,,
1.0557128190994263,7,1299,,,
1.891348958015442,7,1311,,,
,7,1311,2.2050764560699463,0.1141966410758425,0.3995624795467774
