2-train_loss,2-epoch,step,2-val_loss,2-r2score,2-explained_var
1.809101939201355,0,49,,,
2.3294224739074707,0,99,,,
0.8981611728668213,0,149,,,
2.410597085952759,0,163,,,
,0,163,1.3243930339813232,0.5704666857185174,0.6033382648096313
0.9039718508720398,1,199,,,
1.3343044519424438,1,249,,,
1.1867451667785645,1,299,,,
1.2923661470413208,1,327,,,
,1,327,1.2678041458129883,0.5886843024724661,0.6203095866007371
1.5904916524887085,2,349,,,
1.321231722831726,2,399,,,
1.7409473657608032,2,449,,,
1.2953482866287231,2,491,,,
,2,491,1.3936494588851929,0.5461008285513171,0.5851687315816392
2.4093985557556152,3,499,,,
1.597184181213379,3,549,,,
2.036635398864746,3,599,,,
1.4380165338516235,3,649,,,
1.227692723274231,3,655,,,
,3,655,1.2860804796218872,0.582843212135739,0.6022971531357437
1.0285944938659668,4,699,,,
1.267305850982666,4,749,,,
0.6828980445861816,4,799,,,
1.1916550397872925,4,819,,,
,4,819,1.2004437446594238,0.6080080789283753,0.6376116543288616
0.6722714304924011,5,849,,,
1.0336929559707642,5,899,,,
1.5450353622436523,5,949,,,
1.1843838691711426,5,983,,,
,5,983,1.4387260675430298,0.5266524831452937,0.623505290634504
0.9833437204360962,6,999,,,
1.0546560287475586,6,1049,,,
1.2275502681732178,6,1099,,,
1.2084016799926758,6,1147,,,
,6,1147,1.3860774040222168,0.5444152775556186,0.6298001563256888
1.1903399229049683,7,1149,,,
2.4174301624298096,7,1199,,,
1.2398978471755981,7,1249,,,
1.864447832107544,7,1299,,,
1.1923855543136597,7,1311,,,
,7,1311,1.1201452016830444,0.6340538215864738,0.6497223410130685
1.0004186630249023,8,1349,,,
0.9970945119857788,8,1399,,,
0.4660177528858185,8,1449,,,
1.1309958696365356,8,1475,,,
,8,1475,1.3171356916427612,0.5676348197590521,0.6334369280186162
1.6268701553344727,9,1499,,,
1.692138671875,9,1549,,,
2.0023107528686523,9,1599,,,
1.170436978340149,9,1639,,,
,9,1639,1.3729729652404785,0.5478614774449535,0.6126214704500978
1.7798250913619995,10,1649,,,
0.747016966342926,10,1699,,,
1.0560131072998047,10,1749,,,
0.532870888710022,10,1799,,,
1.1193828582763672,10,1803,,,
,10,1803,1.2881639003753662,0.5831807861468281,0.6109005203121625
