1-train_loss,1-epoch,step,1-val_loss,1-r2score,1-explained_var
1.6118255853652954,0,49,,,
1.8049236536026,0,99,,,
0.967317521572113,0,149,,,
2.3781254291534424,0,163,,,
,0,163,1.3252766132354736,0.5634076068727333,0.5830707414971474
1.3488249778747559,1,199,,,
1.258058786392212,1,249,,,
0.9725871086120605,1,299,,,
1.2269659042358398,1,327,,,
,1,327,1.390052318572998,0.5416766041542523,0.5626374616429894
1.3326396942138672,2,349,,,
1.1651666164398193,2,399,,,
2.087651252746582,2,449,,,
1.193953514099121,2,491,,,
,2,491,1.187882900238037,0.6081498406554761,0.6278374626078072
1.5889183282852173,3,499,,,
1.3294063806533813,3,549,,,
1.5569701194763184,3,599,,,
0.7392681241035461,3,649,,,
1.1569089889526367,3,655,,,
,3,655,1.1725319623947144,0.6131361602067198,0.6297585936975356
0.9335925579071045,4,699,,,
1.6457449197769165,4,749,,,
0.9327060580253601,4,799,,,
1.1487971544265747,4,819,,,
,4,819,1.1834584474563599,0.6092726211487834,0.6253041965760625
0.6981395483016968,5,849,,,
1.1687877178192139,5,899,,,
1.3436026573181152,5,949,,,
1.1339598894119263,5,983,,,
,5,983,1.167056679725647,0.6148413861430673,0.6337589820407211
0.6867038607597351,6,999,,,
0.8965675234794617,6,1049,,,
1.6718178987503052,6,1099,,,
1.124577283859253,6,1147,,,
,6,1147,1.1880934238433838,0.6094711767176517,0.626524334879783
1.0137474536895752,7,1149,,,
1.862015724182129,7,1199,,,
1.0982792377471924,7,1249,,,
1.222864031791687,7,1299,,,
1.1257320642471313,7,1311,,,
,7,1311,1.166279673576355,0.6145787373651823,0.6345374935246002
1.0169955492019653,8,1349,,,
0.8334020972251892,8,1399,,,
0.7075107097625732,8,1449,,,
1.0930699110031128,8,1475,,,
,8,1475,1.1819031238555908,0.6086619521820741,0.6376580702737696
