train_loss,epoch,step,val_loss,r2score,explained_var
1.4302552938461304,0,49,,,
2.3244168758392334,0,99,,,
0.8929265141487122,0,149,,,
2.5747780799865723,0,163,,,
,0,163,1.2690516710281372,0.5685191781461989,0.6019546211051507
1.0604642629623413,1,199,,,
0.9310720562934875,1,249,,,
1.1897873878479004,1,299,,,
1.2978198528289795,1,327,,,
,1,327,1.2269961833953857,0.5848047021375599,0.6110419774916138
1.2370023727416992,2,349,,,
1.6032687425613403,2,399,,,
2.0684845447540283,2,449,,,
1.2589433193206787,2,491,,,
,2,491,1.204733967781067,0.5874524384048952,0.6345229297106342
1.3068978786468506,3,499,,,
1.0868103504180908,3,549,,,
2.4447743892669678,3,599,,,
1.2198400497436523,3,649,,,
1.2408984899520874,3,655,,,
,3,655,1.1696826219558716,0.6032015346676133,0.6347248208625058
0.9705888032913208,4,699,,,
1.5499953031539917,4,749,,,
0.7343407273292542,4,799,,,
1.2004822492599487,4,819,,,
,4,819,1.1765625476837158,0.5996800235133926,0.6332276672058804
0.6466150283813477,5,849,,,
1.133245587348938,5,899,,,
1.1361887454986572,5,949,,,
1.1798697710037231,5,983,,,
,5,983,1.1960190534591675,0.5970194117381603,0.6219920562062203
0.45272496342658997,6,999,,,
1.1370816230773926,6,1049,,,
1.6946196556091309,6,1099,,,
1.1532307863235474,6,1147,,,
,6,1147,1.1263362169265747,0.6181454135392773,0.6402011867537575
0.9144847989082336,7,1149,,,
2.3526065349578857,7,1199,,,
1.0738005638122559,7,1249,,,
1.798631191253662,7,1299,,,
1.1331719160079956,7,1311,,,
,7,1311,1.1883784532546997,0.5983142645659568,0.6327439464373649
1.1166868209838867,8,1349,,,
1.0434502363204956,8,1399,,,
0.7521956562995911,8,1449,,,
1.1271088123321533,8,1475,,,
,8,1475,1.217199683189392,0.5882932278518747,0.628941095116937
1.058579444885254,9,1499,,,
1.347060203552246,9,1549,,,
1.5368493795394897,9,1599,,,
1.13628089427948,9,1639,,,
,9,1639,1.2094045877456665,0.5926210440896073,0.6366456862576919
